               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.047099,             0.11886,                   0,              0.8329,             0.67786,             0.77982,             0.49251,            0.044424,             0.10492,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.04705,             0.11898,                   0,             0.83278,             0.67813,             0.77999,             0.49289,            0.044405,             0.10489,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.047154,             0.11896,                   0,             0.83294,             0.67809,              0.7802,             0.49301,            0.044384,             0.10486,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.04691,             0.11732,                   0,             0.83294,             0.67869,             0.78036,             0.49329,            0.044367,             0.10485,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.046916,             0.11807,                   0,              0.8325,              0.6789,             0.78049,             0.49348,             0.04435,             0.10484,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.046808,             0.11802,                   0,             0.83309,             0.67869,             0.78065,             0.49378,            0.044336,             0.10483,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.046911,              0.1178,                   0,             0.83275,              0.6789,             0.78077,             0.49392,            0.044323,             0.10482,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.046526,             0.11651,                   0,             0.83238,             0.67921,             0.78087,             0.49423,            0.044308,             0.10481,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.046619,             0.11736,                   0,             0.83275,             0.67878,             0.78086,             0.49446,            0.044295,              0.1048,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.046386,             0.11676,                   0,             0.83234,             0.67916,             0.78097,             0.49467,            0.044282,             0.10479,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.046594,             0.11613,                   0,             0.83275,              0.6795,             0.78114,             0.49483,            0.044269,             0.10478,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.046335,             0.11678,                   0,             0.83313,             0.67909,             0.78111,             0.49493,            0.044258,             0.10477,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.046331,             0.11586,                   0,             0.83319,             0.67934,             0.78138,             0.49515,            0.044248,             0.10477,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.046369,             0.11533,                   0,             0.83306,             0.67953,             0.78143,              0.4953,            0.044237,             0.10476,                   0,            0.001981,            0.001981,            0.001981
